Year,Month,Day,Hour,concrete_temp
2016,December,9,22,9.09
2016,December,9,23,9.16
2016,December,10,0,9.37
2016,December,10,1,9.28
2016,December,10,2,9.19
2016,December,10,3,9.43
2016,December,10,4,9.33
2016,December,10,5,9.25
2016,December,10,6,8.6
2016,December,10,7,8.72
2016,December,10,8,8.74
2016,December,10,9,8.55
2016,December,10,10,9.07
2016,December,10,11,9.72
2016,December,10,12,9.79
2016,December,10,13,9.69
2016,December,10,14,9.28
2016,December,10,15,8.86
2016,December,10,16,8.6
2016,December,10,17,8.51
2016,December,10,18,8.39
2016,December,10,19,8.06
2016,December,10,20,7.31
2016,December,10,21,6.86
2016,December,10,22,6.56
2016,December,10,23,6.19
2016,December,11,0,6.16
2016,December,11,1,6.78
2016,December,11,2,6.54
2016,December,11,3,6.23
2016,December,11,4,6.46
2016,December,11,5,6.55
2016,December,11,6,6.46
2016,December,11,7,6.9
2016,December,11,8,7.11
2016,December,11,9,7.42
2016,December,11,10,7.87
2016,December,11,11,8.24
2016,December,11,12,8.66
2016,December,11,13,9
2016,December,11,14,8.63
2016,December,11,15,8.13
2016,December,11,16,7.93
2016,December,11,17,7.72
2016,December,11,18,7.87
2016,December,11,19,7.73
2016,December,11,20,7.75
2016,December,11,21,7.71
2016,December,11,22,7.82
2016,December,11,23,7.64
2016,December,12,0,5.97
2016,December,12,1,4.99
2016,December,12,2,4.5
2016,December,12,3,4.28
2016,December,12,4,4.35
2016,December,12,5,3.73
2016,December,12,6,3.61
2016,December,12,7,3.93
2016,December,12,8,4.75
2016,December,12,9,6.25
2016,December,12,10,6.94
2016,December,12,11,6.93
2016,December,12,12,7.99
2016,December,12,13,8.06
2016,December,12,14,7.73
2016,December,12,15,7.71
2016,December,12,16,7.57
2016,December,12,17,7.48
2016,December,12,18,7.4
2016,December,12,19,7.27
2016,December,12,20,7.23
2016,December,12,21,7.37
2016,December,12,22,7.72
2016,December,12,23,7.97
2016,December,13,0,8.08
2016,December,13,1,8.1
2016,December,13,2,8.08
2016,December,13,3,8.09
2016,December,13,4,7.98
2016,December,13,5,7.97
2016,December,13,6,7.72
2016,December,13,7,7.98
2016,December,13,8,8.18
2016,December,13,9,8.29
2016,December,13,10,8.89
2016,December,13,11,9
2016,December,13,12,9.29
2016,December,13,13,8.79
2016,December,13,14,9.59
2016,December,13,15,8.26
2016,December,13,16,8.22
2016,December,13,17,9.14
2016,December,13,18,9.42
2016,December,13,19,9.46
2016,December,13,20,9.56
2016,December,13,21,9.79
2016,December,13,22,9.68
2016,December,13,23,10.09
2016,December,14,0,10.05
2016,December,14,1,10.22
2016,December,14,2,10.14
2016,December,14,3,9.57
2016,December,14,4,9.2
2016,December,14,5,8.86
2016,December,14,6,8.61
2016,December,14,7,8.56
2016,December,14,8,8.34
2016,December,14,9,8.81
2016,December,14,10,9.89
2016,December,14,11,12.14
2016,December,14,12,13.88
2016,December,14,13,12.91
2016,December,14,14,11.64
2016,December,14,15,9.59
2016,December,14,16,8.52
2016,December,14,17,8.37
2016,December,14,18,8.08
2016,December,14,19,7.74
2016,December,14,20,7.69
2016,December,14,21,7.36
2016,December,14,22,7.42
2016,December,14,23,7.27
2016,December,15,0,6.87
2016,December,15,1,6.5
2016,December,15,2,7.18
2016,December,15,3,7.7
2016,December,15,4,8.29
2016,December,15,5,8.49
2016,December,15,6,8.64
2016,December,15,7,8.82
2016,December,15,8,8.78
2016,December,15,9,9.05
2016,December,15,10,9.43
2016,December,15,11,9.91
2016,December,15,12,10.15
2016,December,15,13,10.2
2016,December,15,14,9.62
2016,December,15,15,9.28
2016,December,15,16,9.27
2016,December,15,17,9.24
2016,December,15,18,9.37
2016,December,15,19,8.98
2016,December,15,20,8.92
2016,December,15,21,8.58
2016,December,15,22,7.97
2016,December,15,23,7.52
2016,December,16,0,7.76
2016,December,16,1,7.63
2016,December,16,2,7.12
2016,December,16,3,7.16
2016,December,16,4,7.59
2016,December,16,5,7.56
2016,December,16,6,7.39
2016,December,16,7,7.6
2016,December,16,8,7.83
2016,December,16,9,8.55
2016,December,16,10,9.24
2016,December,16,11,10.93
2016,December,16,12,11.29
2016,December,16,13,10.35
2016,December,16,14,9.05
2016,December,16,15,7.97
2016,December,16,16,7.91
2016,December,16,17,8.29
2016,December,16,18,8.07
2016,December,16,19,8.02
2016,December,16,20,8.1
2016,December,16,21,7.99
2016,December,16,22,7.29
2016,December,16,23,6.1
2016,December,17,0,4.64
2016,December,17,1,3.65
2016,December,17,2,2.92
2016,December,17,3,2.47
2016,December,17,4,2.08
2016,December,17,5,2.13
2016,December,17,6,2.2
2016,December,17,7,2.24
2016,December,17,8,2.61
2016,December,17,9,3.53
2016,December,17,10,5.45
2016,December,17,11,6.36
2016,December,17,12,6.85
2016,December,17,13,6.86
2016,December,17,14,6.28
2016,December,17,15,4.54
2016,December,17,16,3.47
2016,December,17,17,3.17
2016,December,17,18,2.87
2016,December,17,19,2.96
2016,December,17,20,2.94
2016,December,17,21,2.86
2016,December,17,22,3.08
2016,December,17,23,3.05
2016,December,18,0,3.35
2016,December,18,1,4.27
2016,December,18,2,4.44
2016,December,18,3,4.71
2016,December,18,4,5.01
2016,December,18,5,5.15
2016,December,18,6,5.1
2016,December,18,7,5.33
2016,December,18,8,5.56
2016,December,18,9,6.09
2016,December,18,10,6.97
2016,December,18,11,7.69
2016,December,18,12,8.68
2016,December,18,13,8.3
2016,December,18,14,7.81
2016,December,18,15,7.15
2016,December,18,16,6.69
2016,December,18,17,6.29
2016,December,18,18,6.43
2016,December,18,19,6.62
2016,December,18,20,6.21
2016,December,18,21,6.23
2016,December,18,22,6.07
