Year,Month,Day,Hour,Device_ID,Module_Key,OAT
2016,December,5,9,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,3.19
2016,December,5,10,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,3.92
2016,December,5,11,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,5.4
2016,December,5,12,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,7.59
2016,December,5,13,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,8.41
2016,December,5,14,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,6.72
2016,December,5,15,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,5.84
2016,December,5,16,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,5.36
2016,December,5,17,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,4.62
2016,December,5,18,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,4.62
2016,December,5,19,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,4.76
2016,December,6,9,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,6.49
2016,December,6,10,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,8.36
2016,December,6,11,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.21
2016,December,6,12,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.57
2016,December,6,13,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,8.57
2016,December,6,14,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,8.58
2016,December,6,15,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,7.81
2016,December,6,16,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,7.53
2016,December,6,17,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,7.67
2016,December,6,18,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,8.43
2016,December,6,19,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,8.84
