Year,Month,Day,Hour,Device_ID,Module_Key,INS
2016,December,5,9,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,22.624
2016,December,5,10,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,22.145
2016,December,5,11,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,22.616
2016,December,5,12,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.061
2016,December,5,13,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,22.151
2016,December,5,14,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,21.954
2016,December,5,15,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,21.959
2016,December,5,16,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,21.871
2016,December,5,17,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,21.207
2016,December,5,18,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,21.575
2016,December,5,19,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,21.832
2016,December,6,9,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,21.676
2016,December,6,10,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,22.38
2016,December,6,11,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.464
2016,December,6,12,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.398
2016,December,6,13,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.824
2016,December,6,14,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.621
2016,December,6,15,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.048
2016,December,6,16,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,24.18
2016,December,6,17,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.744
2016,December,6,18,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.319
2016,December,6,19,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.796
2016,December,6,20,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.987
2016,December,6,21,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,24.1
2016,December,6,22,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,24.137
2016,December,6,23,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.61
2016,December,7,0,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,22.6
2016,December,7,1,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,21.924
2016,December,7,2,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,21.438
2016,December,7,3,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,21.118
2016,December,7,4,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.857
2016,December,7,5,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.7
2016,December,7,6,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,21.269
