Year,Month,Day,Hour,elec_consumption
2016,December,13,11,98
2016,December,13,12,101
2016,December,13,13,105
2016,December,13,14,104
2016,December,13,15,104
2016,December,13,16,104
2016,December,13,17,103
2016,December,13,18,92
2016,December,13,19,79
2016,December,13,20,73
2016,December,13,21,68
2016,December,13,22,58
2016,December,13,23,46
2016,December,14,0,34
2016,December,14,1,31
2016,December,14,2,29
2016,December,14,3,29
2016,December,14,4,29
2016,December,14,5,28
2016,December,14,6,34
2016,December,18,7,43
2016,December,18,8,43
2016,December,18,9,44
2016,December,18,10,46
2016,December,18,11,45
2016,December,18,12,48
2016,December,18,13,53
2016,December,18,14,52
2016,December,18,15,55
2016,December,18,16,53
2016,December,18,17,55
2016,December,18,18,57
2016,December,18,19,59
2016,December,18,20,54
2016,December,18,21,52
2016,December,18,22,49
2016,December,18,23,44
2016,December,19,0,30
2016,December,19,1,29
2016,December,19,2,29
2016,December,19,3,28
2016,December,19,4,29
2016,December,19,5,27
2016,December,19,6,34
2016,December,19,7,46
2016,December,19,8,62
2016,December,19,9,63
2016,December,19,10,71
2016,December,19,11,69
2016,December,19,12,69
2016,December,19,13,67
2016,December,19,14,68
2016,December,19,15,66
2016,December,19,16,68
2016,December,19,17,66
2016,December,19,18,60
2016,December,19,19,50
2016,December,19,20,47
2016,December,19,21,45
2016,December,19,22,45
2016,December,19,23,44
2016,December,20,0,27
2016,December,20,1,29
2016,December,20,2,26
2016,December,20,3,28
2016,December,20,4,28
2016,December,20,5,28
2016,December,20,6,31
2016,December,20,7,45
2016,December,20,8,54
2016,December,20,9,62
2016,December,20,10,66
2016,December,20,11,66
2016,December,20,12,72
2016,December,20,13,67
2016,December,20,14,63
2016,December,20,15,65
2016,December,20,16,66
2016,December,20,17,64
2016,December,20,18,60
2016,December,20,19,56
2016,December,20,20,46
2016,December,20,21,48
2016,December,20,22,47
2016,December,20,23,44
2016,December,21,0,29
2016,December,21,1,29
2016,December,21,2,27
2016,December,21,3,27
2016,December,21,4,27
2016,December,21,5,27
2016,December,21,6,33
2016,December,21,7,44
2016,December,21,8,57
2016,December,21,9,66
2016,December,21,10,72
2016,December,21,11,69
2016,December,21,12,67
2016,December,21,13,67
2016,December,21,14,33
2017,January,1,0,27
2017,January,1,1,25
2017,January,1,2,26
2017,January,1,3,25
2017,January,1,4,25
2017,January,1,5,25
2017,January,1,6,27
2017,January,1,7,35
2017,January,1,8,35
2017,January,1,9,33
2017,January,1,10,34
2017,January,1,11,37
2017,January,1,12,37
2017,January,1,13,40
2017,January,1,14,37
2017,January,1,15,38
2017,January,1,16,41
2017,January,1,17,38
2017,January,1,18,42
2017,January,1,19,39
2017,January,1,20,41
2017,January,1,21,40
2017,January,1,22,35
2017,January,1,23,34
2017,January,2,0,26
2017,January,2,1,29
2017,January,2,2,26
2017,January,2,3,25
2017,January,2,4,26
2017,January,2,5,26
2017,January,2,6,29
2017,January,2,7,37
2017,January,2,8,35
2017,January,2,9,40
2017,January,2,10,39
2017,January,2,11,41
2017,January,2,12,42
2017,January,2,13,40
2017,January,2,14,43
2017,January,2,15,40
2017,January,2,16,42
2017,January,2,17,46
2017,January,2,18,46
2017,January,2,19,40
2017,January,2,20,44
2017,January,2,21,40
2017,January,2,22,38
2017,January,2,23,35
2017,January,3,0,28
2017,January,3,1,30
2017,January,3,2,26
2017,January,3,3,26
2017,January,3,4,25
2017,January,3,5,27
2017,January,3,6,34
2017,January,3,7,41
2017,January,3,8,42
2017,January,3,9,48
2017,January,3,10,56
2017,January,3,11,58
2017,January,3,12,62
2017,January,3,13,57
2017,January,3,14,57
2017,January,3,15,58
2017,January,3,16,57
2017,January,3,17,56
2017,January,3,18,51
2017,January,3,19,50
2017,January,3,20,46
2017,January,3,21,39
2017,January,3,22,40
2017,January,3,23,44
2017,January,4,0,32
2017,January,4,1,32
2017,January,4,2,31
2017,January,4,3,30
2017,January,4,4,29
2017,January,4,5,30
2017,January,4,6,36
2017,January,6,7,41
2017,January,6,8,46
2017,January,6,9,51
2017,January,6,10,58
2017,January,6,11,61
2017,January,6,12,63
2017,January,6,13,63
2017,January,6,14,62
2017,January,6,15,63
2017,January,6,16,66
2017,January,6,17,60
2017,January,6,18,54
2017,January,6,19,50
2017,January,6,20,43
2017,January,6,21,44
2017,January,6,22,42
2017,January,6,23,38
2017,January,7,0,31
2017,January,7,1,26
2017,January,7,2,26
2017,January,7,3,26
2017,January,7,4,26
2017,January,7,5,27
2017,January,7,6,29
2017,January,7,7,36
2017,January,7,8,36
2017,January,7,9,38
2017,January,7,10,36
2017,January,7,11,39
2017,January,7,12,41
2017,January,7,13,38
2017,January,7,14,41
2017,January,7,15,41
2017,January,7,16,42
2017,January,7,17,44
2017,January,7,18,45
2017,January,7,19,43
2017,January,7,20,43
2017,January,7,21,41
2017,January,7,22,40
2017,January,7,23,37
2017,January,8,0,26
2017,January,8,1,30
2017,January,8,2,28
2017,January,8,3,27
2017,January,8,4,27
2017,January,8,5,26
2017,January,8,6,32
2017,January,8,7,36
2017,January,8,8,37
2017,January,8,9,39
2017,January,8,10,40
2017,January,8,11,41
2017,January,8,12,42
2017,January,8,13,41
2017,January,8,14,41
2017,January,8,15,40
2017,January,8,16,39
2017,January,8,17,43
2017,January,8,18,44
2017,January,8,19,42
2017,January,8,20,49
2017,January,8,21,48
2017,January,8,22,42
2017,January,8,23,40
2017,January,9,0,31
2017,January,9,1,31
2017,January,9,2,30
2017,January,9,3,29
2017,January,9,4,29
2017,January,9,5,28
2017,January,9,6,34
2017,January,9,7,40
2017,January,9,8,46
2017,January,9,9,57
2017,January,9,10,67
2017,January,9,11,73
2017,January,9,12,73
2017,January,9,13,71
2017,January,9,14,70
2017,January,9,15,69
2017,January,9,16,66
2017,January,9,17,68
2017,January,9,18,58
2017,January,9,19,46
2017,January,9,20,46
2017,January,9,21,42
2017,January,9,22,39
2017,January,9,23,39
2017,January,10,0,28
2017,January,10,1,28
2017,January,10,2,29
2017,January,10,3,27
2017,January,10,4,26
2017,January,10,5,28
2017,January,10,6,37
2017,January,10,7,43
2017,January,10,8,48
2017,January,10,9,59
2017,January,10,10,69
2017,January,10,11,70
2017,January,10,12,71
2017,January,10,13,73
2017,January,10,14,71
2017,January,10,15,73
2017,January,10,16,72
2017,January,10,17,69
2017,January,10,18,60
2017,January,10,19,53
2017,January,10,20,46
2017,January,10,21,44
2017,January,10,22,41
2017,January,10,23,37
2017,January,11,0,28
2017,January,11,1,29
2017,January,11,2,27
2017,January,11,3,28
