,timestamp,id,metadata_id,consumption,meter_reading
66683,2017-04-05 02:00:00,117,102,14,5663819
66697,2017-04-05 04:00:00,121,102,13,5663873
87945,2017-04-25 06:00:00,1,102,22,5683763
87971,2017-04-25 08:00:00,5,102,28,5683860
87998,2017-04-25 10:00:00,9,102,39,5683997
88025,2017-04-25 12:00:00,13,102,39,5684156
88051,2017-04-25 14:00:00,17,102,42,5684324
88075,2017-04-25 16:00:00,21,102,38,5684488
88109,2017-04-25 06:30:00,2,102,23,5683785
88135,2017-04-25 08:30:00,6,102,35,5683888
88162,2017-04-25 10:30:00,10,102,40,5684036
88188,2017-04-25 12:30:00,14,102,43,5684195
88214,2017-04-25 14:30:00,18,102,42,5684366
88268,2017-04-25 07:00:00,3,102,25,5683808
88294,2017-04-25 09:00:00,7,102,36,5683923
88321,2017-04-25 11:00:00,11,102,39,5684076
88347,2017-04-25 13:00:00,15,102,43,5684238
88373,2017-04-25 15:00:00,19,102,40,5684408
88431,2017-04-25 07:30:00,4,102,27,5683833
88457,2017-04-25 09:30:00,8,102,38,5683959
88484,2017-04-25 11:30:00,12,102,41,5684115
88510,2017-04-25 13:30:00,16,102,43,5684281
88535,2017-04-25 15:30:00,20,102,40,5684448
88567,2017-04-25 18:00:00,25,102,38,5684636
88584,2017-04-25 20:00:00,29,102,29,5684770
88596,2017-04-25 22:00:00,33,102,21,5684882
88607,2017-04-26 00:00:00,37,102,14,5684954
88618,2017-04-26 02:00:00,41,102,13,5685008
88629,2017-04-26 04:00:00,45,102,13,5685060
88640,2017-04-26 06:00:00,49,102,22,5685121
88651,2017-04-26 08:00:00,53,102,30,5685219
88662,2017-04-26 10:00:00,57,102,37,5685360
88673,2017-04-26 12:00:00,61,102,39,5685517
88684,2017-04-26 14:00:00,65,102,41,5685680
88695,2017-04-26 16:00:00,69,102,37,5685847
88708,2017-04-25 16:30:00,22,102,39,5684526
88729,2017-04-25 18:30:00,26,102,35,5684674
88743,2017-04-25 20:30:00,30,102,29,5684799
88755,2017-04-25 22:30:00,34,102,19,5684903
88766,2017-04-26 00:30:00,38,102,14,5684968
88777,2017-04-26 02:30:00,42,102,13,5685021
88788,2017-04-26 04:30:00,46,102,15,5685073
88799,2017-04-26 06:30:00,50,102,23,5685143
88810,2017-04-26 08:30:00,54,102,33,5685249
88821,2017-04-26 10:30:00,58,102,40,5685397
88832,2017-04-26 12:30:00,62,102,40,5685556
88843,2017-04-26 14:30:00,66,102,42,5685721
88854,2017-04-26 16:30:00,70,102,35,5685884
88866,2017-04-25 17:00:00,23,102,35,5684565
88887,2017-04-25 19:00:00,27,102,30,5684709
88900,2017-04-25 21:00:00,31,102,28,5684828
88912,2017-04-25 23:00:00,35,102,17,5684922
88923,2017-04-26 01:00:00,39,102,13,5684982
88934,2017-04-26 03:00:00,43,102,13,5685034
88945,2017-04-26 05:00:00,47,102,15,5685088
88956,2017-04-26 07:00:00,51,102,23,5685166
88967,2017-04-26 09:00:00,55,102,36,5685282
88978,2017-04-26 11:00:00,59,102,39,5685437
88989,2017-04-26 13:00:00,63,102,42,5685596
89000,2017-04-26 15:00:00,67,102,43,5685763
89011,2017-04-26 17:00:00,71,102,34,5685919
89027,2017-04-25 17:30:00,24,102,36,5684600
89047,2017-04-25 19:30:00,28,102,31,5684739
89059,2017-04-25 21:30:00,32,102,26,5684856
89071,2017-04-25 23:30:00,36,102,15,5684939
89082,2017-04-26 01:30:00,40,102,13,5684995
89093,2017-04-26 03:30:00,44,102,13,5685047
89104,2017-04-26 05:30:00,48,102,18,5685103
89115,2017-04-26 07:30:00,52,102,30,5685189
89126,2017-04-26 09:30:00,56,102,42,5685318
89137,2017-04-26 11:30:00,60,102,41,5685476
