module_key,cluster,cluster2
D10,0,2
D11,0,2
D12,0,0
D13,0,0
D14,0,0
D15,0,0
D2,0,0
D20,0,2
D8,0,0
D9,0,0
L1,0,0
L11,0,2
L14,0,0
L3,0,0
L4,0,0
L5,0,0
L6,0,0
L7,0,2
L8,0,0
L9,0,0
S1,0,0
S11,0,0
S12,2,0
S13,0,0
S14,2,1
S15,0,2
S16,2,0
S17,0,0
S18,2,0
S19,0,0
S2,0,0
S20,2,0
S21,0,0
S22,2,0
S23,0,2
S24,2,0
S25,0,0
S26,2,0
S27,0,2
S3,0,0
S33,0,0
S34,0,0
S36,1,0
S39,0,0
S4,0,0
S5,0,0
S6,0,0
S7,0,0
S8,0,0
S9,1,1
