module_key,cluster,cluster2
K4,0,2
S1,0,2
S11,0,2
S12,2,1
S13,0,2
S14,2,0
S15,0,0
S16,2,2
S17,0,2
S18,2,2
S19,0,0
S2,0,0
S20,2,0
S21,0,2
S22,2,2
S23,0,0
S24,2,2
S25,0,0
S26,2,2
S27,0,2
S3,0,2
S36,1,2
S4,0,0
S6,0,0
S7,0,2
S9,1,1
