module_key,cluster,cluster2
K12,1,1
K16,0,0
S1,0,1
S11,0,1
S12,1,0
S13,0,1
S14,1,1
S15,0,0
S16,1,1
S17,0,1
S18,1,1
S19,0,0
S2,0,1
S20,1,0
S21,0,1
S22,1,1
S23,0,1
S24,1,0
S25,0,0
S26,1,1
S27,0,0
S3,0,0
S34,0,1
S36,2,1
S4,0,0
S6,0,1
S7,0,1
S9,2,2
