Year,Month,Day,Hour,heat_consumption
2016,December,14,2,9
2016,December,14,3,10
2016,December,14,4,11
2016,December,14,5,11
2016,December,14,6,84
2016,December,18,7,410
2016,December,18,8,251
2016,December,18,9,221
2016,December,18,10,222
2016,December,18,11,216
2016,December,18,12,214
2016,December,18,13,205
2016,December,18,14,199
2016,December,18,15,205
2016,December,18,16,203
2016,December,18,17,205
2016,December,18,18,201
2016,December,18,19,200
2016,December,18,20,204
2016,December,18,21,202
2016,December,18,22,200
2016,December,18,23,176
2016,December,19,0,0
2016,December,19,1,2
2016,December,19,2,6
2016,December,19,3,7
2016,December,19,4,7
2016,December,19,5,7
2016,December,19,6,73
2016,December,19,7,314
2016,December,19,8,312
2016,December,19,9,271
2016,December,19,10,239
2016,December,19,11,244
2016,December,19,12,235
2016,December,19,13,228
2016,December,19,14,228
2016,December,19,15,220
2016,December,19,16,217
2016,December,19,17,212
2016,December,19,18,204
2016,December,19,19,191
2016,December,19,20,190
2016,December,19,21,195
2016,December,19,22,193
2016,December,19,23,160
2016,December,20,0,2
2016,December,20,1,5
2016,December,20,2,9
2016,December,20,3,10
2016,December,20,4,15
2016,December,20,5,15
2016,December,20,6,111
2016,December,20,7,394
2016,December,20,8,278
2016,December,20,9,235
2016,December,20,10,232
2016,December,20,11,227
2016,December,20,12,233
2016,December,20,13,226
2016,December,20,14,219
2016,December,20,15,229
2016,December,20,16,232
2016,December,20,17,230
2016,December,20,18,217
2016,December,20,19,214
2016,December,20,20,215
2016,December,20,21,208
2016,December,20,22,208
2016,December,20,23,176
2016,December,21,0,1
2016,December,21,1,5
2016,December,21,2,9
2016,December,21,3,13
2016,December,21,4,13
2016,December,21,5,14
2016,December,21,6,109
2016,December,21,7,378
2016,December,21,8,314
2016,December,21,9,265
2016,December,21,10,240
2016,December,21,11,246
2016,December,21,12,241
2016,December,21,13,233
2016,December,21,14,123
2017,January,1,0,1
2017,January,1,1,6
2017,January,1,2,12
2017,January,1,3,13
2017,January,1,4,15
2017,January,1,5,17
2017,January,1,6,98
2017,January,1,7,381
2017,January,1,8,263
2017,January,1,9,242
2017,January,1,10,231
2017,January,1,11,230
2017,January,1,12,228
2017,January,1,13,210
2017,January,1,14,206
2017,January,1,15,213
2017,January,1,16,218
2017,January,1,17,222
2017,January,1,18,217
2017,January,1,19,221
2017,January,1,20,223
2017,January,1,21,225
2017,January,1,22,227
2017,January,1,23,191
2017,January,2,0,0
2017,January,2,1,2
2017,January,2,2,5
2017,January,2,3,5
2017,January,2,4,6
2017,January,2,5,6
2017,January,2,6,6
2017,January,2,7,187
2017,January,2,8,352
2017,January,2,9,300
2017,January,2,10,289
2017,January,2,11,286
2017,January,2,12,254
2017,January,2,13,239
2017,January,2,14,245
2017,January,2,15,253
2017,January,2,16,244
2017,January,2,17,260
2017,January,2,18,244
2017,January,2,19,236
2017,January,2,20,233
2017,January,2,21,234
2017,January,2,22,236
2017,January,2,23,188
2017,January,3,0,0
2017,January,3,1,1
2017,January,3,2,1
2017,January,3,3,2
2017,January,3,4,1
2017,January,3,5,2
2017,January,3,6,59
2017,January,3,7,329
2017,January,3,8,340
2017,January,3,9,260
2017,January,3,10,289
2017,January,3,11,235
2017,January,3,12,288
2017,January,3,13,243
2017,January,3,14,256
2017,January,3,15,261
2017,January,3,16,274
2017,January,3,17,267
2017,January,3,18,252
2017,January,3,19,234
2017,January,3,20,232
2017,January,3,21,235
2017,January,3,22,229
2017,January,3,23,188
2017,January,4,0,2
2017,January,4,1,5
2017,January,4,2,8
2017,January,4,3,12
2017,January,4,4,16
2017,January,4,5,14
2017,January,4,6,103
2017,January,6,7,372
2017,January,6,8,364
2017,January,6,9,306
2017,January,6,10,301
2017,January,6,11,293
2017,January,6,12,286
2017,January,6,13,280
2017,January,6,14,288
2017,January,6,15,266
2017,January,6,16,278
2017,January,6,17,274
2017,January,6,18,245
2017,January,6,19,241
2017,January,6,20,240
2017,January,6,21,238
2017,January,6,22,235
2017,January,6,23,191
2017,January,7,0,2
2017,January,7,1,2
2017,January,7,2,3
2017,January,7,3,1
2017,January,7,4,2
2017,January,7,5,1
2017,January,7,6,83
2017,January,7,7,411
2017,January,7,8,284
2017,January,7,9,258
2017,January,7,10,237
2017,January,7,11,236
2017,January,7,12,232
2017,January,7,13,234
2017,January,7,14,240
2017,January,7,15,220
2017,January,7,16,229
2017,January,7,17,222
2017,January,7,18,219
2017,January,7,19,219
2017,January,7,20,220
2017,January,7,21,221
2017,January,7,22,222
2017,January,7,23,181
2017,January,8,0,1
2017,January,8,1,1
2017,January,8,2,2
2017,January,8,3,1
2017,January,8,4,2
2017,January,8,5,1
2017,January,8,6,81
2017,January,8,7,405
2017,January,8,8,268
2017,January,8,9,248
2017,January,8,10,235
2017,January,8,11,227
2017,January,8,12,227
2017,January,8,13,217
2017,January,8,14,219
2017,January,8,15,222
2017,January,8,16,222
2017,January,8,17,225
2017,January,8,18,213
2017,January,8,19,217
2017,January,8,20,223
2017,January,8,21,226
2017,January,8,22,213
2017,January,8,23,178
2017,January,9,0,1
2017,January,9,1,4
2017,January,9,2,8
2017,January,9,3,9
2017,January,9,4,9
2017,January,9,5,8
2017,January,9,6,64
2017,January,9,7,306
2017,January,9,8,307
2017,January,9,9,311
2017,January,9,10,265
2017,January,9,11,277
2017,January,9,12,257
2017,January,9,13,262
2017,January,9,14,262
2017,January,9,15,242
2017,January,9,16,258
2017,January,9,17,257
2017,January,9,18,231
2017,January,9,19,225
2017,January,9,20,230
2017,January,9,21,225
2017,January,9,22,223
2017,January,9,23,184
2017,January,10,0,2
2017,January,10,1,1
2017,January,10,2,2
2017,January,10,3,1
2017,January,10,4,3
2017,January,10,5,1
2017,January,10,6,95
2017,January,10,7,399
2017,January,10,8,333
2017,January,10,9,296
2017,January,10,10,263
2017,January,10,11,265
2017,January,10,12,267
2017,January,10,13,260
2017,January,10,14,255
2017,January,10,15,246
2017,January,10,16,262
2017,January,10,17,250
2017,January,10,18,230
2017,January,10,19,228
2017,January,10,20,235
2017,January,10,21,223
2017,January,10,22,216
2017,January,10,23,181
2017,January,11,0,0
2017,January,11,1,1
2017,January,11,2,1
2017,January,11,3,1
2017,January,11,4,1
2017,January,11,5,0
2017,January,11,6,79
2017,January,11,7,329
2017,January,11,8,319
2017,January,11,9,300
2017,January,11,10,293
2017,January,11,11,249
2017,January,11,12,268
2017,January,11,13,269
2017,January,11,14,253
2017,January,11,15,264
2017,January,11,16,257
2017,January,11,17,250
2017,January,11,18,260
2017,January,11,19,228
2017,January,11,20,240
2017,January,11,21,232
2017,January,11,22,235
2017,January,11,23,190
2017,January,12,0,3
2017,January,12,1,2
2017,January,12,2,3
2017,January,12,3,2
2017,January,12,4,2
2017,January,12,5,3
2017,January,12,6,103
2017,January,12,7,420
2017,January,12,8,340
2017,January,12,9,312
2017,January,12,10,282
2017,January,12,11,292
2017,January,12,12,297
2017,January,12,13,280
2017,January,12,14,263
2017,January,12,15,276
2017,January,12,16,270
2017,January,12,17,264
2017,January,12,18,270
2017,January,12,19,256
2017,January,12,20,252
2017,January,12,21,262
2017,January,12,22,243
2017,January,12,23,200
